Issue Key,Summary,Description,Issue Type,Status,Created,Priority
BUG-101,Payment button returns 500 error on mobile checkout,"Users on iOS and Android are receiving a 500 server error when clicking the payment button at checkout. Reproducible on Safari and Chrome mobile. Started after deploy on Jan 30.",Bug,Open,2024-01-31,Critical
BUG-102,Mobile app crashes on file upload over 5MB,"Android app crashes immediately when user attempts to upload any file larger than 5MB. No error message shown to user. Crash log attached.",Bug,Open,2024-01-31,High
BUG-103,Password reset emails landing in Gmail spam,"Users with Gmail accounts are not receiving password reset emails in inbox — found in spam. SPF/DKIM records may need updating.",Bug,In Progress,2024-02-01,High
BUG-104,Dashboard performance degrades with 50+ projects,"Users with large accounts report dashboard taking 8-12 seconds to load. Query optimization needed on the projects list endpoint.",Bug,Open,2024-02-01,Medium
BUG-105,Notification preferences reset after 24 hours,"Email notification settings do not persist. Users report having to disable notifications repeatedly as they re-enable themselves daily.",Bug,Open,2024-02-02,High
BUG-106,Billing page error on plan downgrade,"Users who attempt to downgrade their subscription plan receive a generic error and cannot complete the action. Workaround requires manual intervention from support.",Bug,Open,2024-02-02,Critical
FEAT-201,CSV export for all data tables,"Multiple customers and prospects have requested the ability to export any data table to CSV. Currently export is only available on the reports page. Sales reports this as a frequent demo blocker.",Feature Request,Backlog,2024-01-28,High
FEAT-202,SSO / SAML integration,"Enterprise prospects require Single Sign-On support. Three enterprise deals blocked this month due to lack of SSO. Requested for Okta and Azure AD specifically.",Feature Request,Backlog,2024-01-29,Critical
FEAT-203,Dark mode support,"Community forum has 47 upvotes on dark mode request. Growing demand from power users who work in low-light environments.",Feature Request,Backlog,2024-02-01,Low
FEAT-204,Team member invitation flow redesign,"Users struggle to find how to invite teammates. Current flow requires navigating to Settings > Organization > Members > Invite. Recommend surfacing invite option on dashboard.",Feature Request,In Design,2024-02-03,Medium
FEAT-205,Onboarding checklist progress persistence,"Onboarding checklist state is stored in memory only. Users who close the browser lose all progress and must restart onboarding. Needs server-side persistence.",Feature Request,Backlog,2024-02-02,High
FEAT-206,Fuzzy search across all content,"Current search requires exact keyword match. Users report frustration when searching for items with slight spelling variations. Implement fuzzy matching with Elasticsearch or similar.",Feature Request,Backlog,2024-02-04,Medium
